"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"10/01/2020 20:00:00 - 10/01/2020 21:00:00","BZN|IT-North","Without Sequence","49.49","",""
"10/01/2020 21:00:00 - 10/01/2020 22:00:00","BZN|IT-North","Without Sequence","45.96","",""
"10/01/2020 22:00:00 - 10/01/2020 23:00:00","BZN|IT-North","Without Sequence","45.72","",""
"10/01/2020 23:00:00 - 11/01/2020 00:00:00","BZN|IT-North","Without Sequence","44.08","",""
"11/01/2020 00:00:00 - 11/01/2020 01:00:00","BZN|IT-North","Without Sequence","42.20","",""
"11/01/2020 01:00:00 - 11/01/2020 02:00:00","BZN|IT-North","Without Sequence","41.30","",""
"11/01/2020 02:00:00 - 11/01/2020 03:00:00","BZN|IT-North","Without Sequence","39.54","",""
"11/01/2020 03:00:00 - 11/01/2020 04:00:00","BZN|IT-North","Without Sequence","38.15","",""
"11/01/2020 04:00:00 - 11/01/2020 05:00:00","BZN|IT-North","Without Sequence","38.15","",""
"11/01/2020 05:00:00 - 11/01/2020 06:00:00","BZN|IT-North","Without Sequence","38.15","",""
"11/01/2020 06:00:00 - 11/01/2020 07:00:00","BZN|IT-North","Without Sequence","40.39","",""
"11/01/2020 07:00:00 - 11/01/2020 08:00:00","BZN|IT-North","Without Sequence","43.46","",""
"11/01/2020 08:00:00 - 11/01/2020 09:00:00","BZN|IT-North","Without Sequence","45.00","",""
"11/01/2020 09:00:00 - 11/01/2020 10:00:00","BZN|IT-North","Without Sequence","43.48","",""
"11/01/2020 10:00:00 - 11/01/2020 11:00:00","BZN|IT-North","Without Sequence","43.48","",""
"11/01/2020 11:00:00 - 11/01/2020 12:00:00","BZN|IT-North","Without Sequence","42.22","",""
"11/01/2020 12:00:00 - 11/01/2020 13:00:00","BZN|IT-North","Without Sequence","41.90","",""
"11/01/2020 13:00:00 - 11/01/2020 14:00:00","BZN|IT-North","Without Sequence","40.50","",""
